"id","compound_public_id","source_type","food_id","food_name","orig_food_common_name","orig_food_scientific_name","orig_source_id","orig_source_name","orig_content_avg","orig_unit","citation","preparation_type"
1179998,12174,"Compound",503,"Towel gourd","","","","",NA,"","MANUAL",""
1179999,12174,"Compound",509,"Wasabi","","","","",NA,"","MANUAL",""
1180000,12174,"Compound",510,"Wax gourd","","","","",NA,"","MANUAL",""
1180001,12174,"Compound",516,"Wild rice","","","","",NA,"","MANUAL",""
1180002,12174,"Compound",517,"Tea leaf willow","","","","",NA,"","MANUAL",""
1180003,12174,"Compound",518,"Winged bean","","","","",NA,"","MANUAL",""
1180004,12174,"Compound",519,"Yam","","","","",NA,"","MANUAL",""
1180005,12174,"Compound",520,"Jicama","","","","",NA,"","MANUAL",""
1180006,12174,"Compound",521,"Yautia","","","","",NA,"","MANUAL",""
1180007,12174,"Compound",534,"Black-eyed pea","","","","",NA,"","MANUAL",""
1180008,12174,"Compound",536,"Macadamia nut","","","","",NA,"","MANUAL",""
1180009,12174,"Compound",551,"Alaska wild rhubarb","","","","",NA,"","MANUAL",""
1180010,12174,"Compound",552,"Oriental wheat","","","","",NA,"","MANUAL",""
1180011,12174,"Compound",553,"Yardlong bean","","","","",NA,"","MANUAL",""
1180012,12174,"Compound",554,NA,"","","","",NA,"","MANUAL",""
1180013,12174,"Compound",556,"Boysenberry","","","","",NA,"","MANUAL",""
1180014,12174,"Compound",557,"Persian lime","","","","",NA,"","MANUAL",""
1180015,12174,"Compound",558,"Feijoa","","","","",NA,"","MANUAL",""
1180016,12174,"Compound",559,"Rowal","","","","",NA,"","MANUAL",""
1180017,12174,"Compound",560,"Jew's ear","","","","",NA,"","MANUAL",""
1180018,12174,"Compound",561,"Common mushroom","","","","",NA,"","MANUAL",""
1180019,12174,"Compound",562,"Shiitake","","","","",NA,"","MANUAL",""
1180020,12174,"Compound",563,"Purple laver","","","","",NA,"","MANUAL",""
1180021,12174,"Compound",564,"Wakame","","","","",NA,"","MANUAL",""
1180022,12174,"Compound",565,"Enokitake","","","","",NA,"","MANUAL",""
1180023,12174,"Compound",566,"Epazote","","","","",NA,"","MANUAL",""
1180024,12174,"Compound",567,"Oyster mushroom","","","","",NA,"","MANUAL",""
1180025,12174,"Compound",568,"Cloud ear fungus","","","","",NA,"","MANUAL",""
1180026,12174,"Compound",569,"Maitake","","","","",NA,"","MANUAL",""
1180027,12174,"Compound",570,"Ostrich fern","","","","",NA,"","MANUAL",""
1180028,12174,"Compound",572,"Sourdock","","","","",NA,"","MANUAL",""
1180029,12174,"Compound",573,"Tinda","","","","",NA,"","MANUAL",""
1180030,12174,"Compound",575,"Wheat","","","","",NA,"","MANUAL",""
