"klass","subklass","compound_public_id","compound_name","directparent","component"
"Flavonoids","Flavonoid glycosides","FDB017164","Cyanidin 3-(disinapoylsophoroside) 5-glucoside","Anthocyanidin 3-O-6-p-coumaroyl glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017165","Cyanidin 3-sambubioside 5-glucoside","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017168","Cyanidin 3-(malonylsophoroside) 5-glucoside","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017173","Cyanidin 3-xyloside","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017175","Cyanidin 3,3'-diglucoside","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017177","Cyanidin 3-(2G-glucosylrutinoside)","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017182","Cyanidin 3,4'-diglucoside","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017184","Cyanidin 3-(caffeoylglucoside)","Anthocyanidin 3-O-6-p-coumaroyl glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017187","Cyanidin 3-rhamnoside 5-glucoside","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017188","Cyanidin 3-(2G-xylosylrutinoside)","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017189","Cyanidin 3-sophorotrioside","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017190","Cyanidin 3-laminaribioside","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017191","Delphinidin 3-glucoside","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017192","Delphinidin 3-arabinoside","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017193","Delphinidin 3,5-di(6''-malonylglucoside)","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017195","Delphinidin 3-rutinoside","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017196","Delphinidin 3-rutinoside 5-glucoside","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017199","Delphinidin 3-rhamnoside 5-glucoside","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017201","Delphinidin 3-sambubioside","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017203","Delphinidin 3-(acetylglucoside)","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017206","Delphinidin 3-gentiobioside","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017207","Delphinidin 3-sophoroside","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017208","Delphinidin 3-sambubioside 5-glucoside","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017209","Malvidin 3-(6-acetylglucoside)","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017210","Malvidin 3-arabinoside","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017212","Malvidin 3-galactoside","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017216","Malvidin 3-rhamnoside 5-glucoside","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017242","Malvidin 3-sophoroside 5-glucoside","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017243","Malvidin 3-laminaribioside","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017298","Pelargonidin 3-rhamnoside","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017299","Pelargonidin 3-(6''-malonylglucoside)","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017300","Pelargonidin 3-rhamnoside 5-glucoside","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017301","3-Caffeoylpelargonidin 5-glucoside","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB017302","3-Ferulylpelargonidin 5-glucoside","Anthocyanidin-5-O-glycosides","Anthocyanidins"
